"Month","Has Higher Bookings","Resort Hotels Total Bookings","City Hotels Total Bookings","Has Higher Occupancy Rate","Resort Hotels Occupancy Rate (%)","City Hotels Occupancy Rate (%)","Has Higher Booked Room-Nights","Resort Hotels Total Booked Room-Nights","City Hotels Total Booked Room-Nights"
"January","City Hotels","1868","2254","Resort Hotels","27.09","20.30","City Hotels","5038","6294"
"February","City Hotels","2308","3064","Resort Hotels","41.64","31.40","City Hotels","6995","8793"
"March","City Hotels","2573","4072","Resort Hotels","51.30","39.58","City Hotels","9542","12269"
"April","City Hotels","2550","4015","Resort Hotels","53.56","40.51","City Hotels","9641","12154"
"May","City Hotels","2535","4579","Resort Hotels","57.68","41.57","City Hotels","10728","12888"
"June","City Hotels","2038","4366","Resort Hotels","60.39","40.92","City Hotels","10871","12275"
"July","City Hotels","3137","4782","Resort Hotels","87.70","47.10","Resort Hotels","16312","14600"
"August","City Hotels","3257","5381","Resort Hotels","90.57","54.65","City Hotels","16846","16943"
"September","City Hotels","2102","4290","Resort Hotels","61.09","39.87","City Hotels","10996","11962"
"October","City Hotels","2577","4337","Resort Hotels","52.46","38.96","City Hotels","9757","12077"
"November","City Hotels","1976","2696","Resort Hotels","38.53","26.00","City Hotels","6936","7799"
"December","City Hotels","2017","2392","Resort Hotels","33.47","22.90","City Hotels","6225","7099"
