"country","ALT (Average Lead Time)"
"FJI","322.00"
"FRO","286.40"
"BEN","274.00"
"LCA","268.00"
"KNA","251.50"
"MYT","208.00"
"MKD","198.20"
"BRB","192.00"
"DOM","185.29"
"GUY","180.00"
"IMN","176.50"
"BHR","173.80"
"PLW","169.00"
"BHS","159.00"
"PYF","159.00"
"ISL","155.39"
"SMR","154.00"
"MRT","148.00"
"SRB","142.27"
"DEU","137.37"
"SVK","137.32"
"GBR","127.42"
"MNE","126.20"
"ABW","126.00"
"AUS","125.37"
"DMA","124.00"
"JEY","123.88"
"NOR","122.74"
"IRL","120.45"
"NZL","119.54"
"CN","118.86"
"AUT","117.74"
"GIB","117.28"
"ATF","116.00"
"NCL","116.00"
"PRT","115.57"
"DNK","113.13"
"CAF","109.40"
"VGB","109.00"
"ROU","108.15"
"SWE","106.40"
"ALB","103.42"
"GLP","103.00"
"MLT","102.78"
"RWA","102.00"
"URY","100.16"
"BEL","99.67"
"EST","98.89"
"HUN","98.23"
"LUX","97.71"
"GEO","97.68"
"CZE","95.47"
"LTU","94.94"
"MOZ","94.78"
"LVA","93.20"
"CYM","92.00"
"CHE","91.07"
"BWA","91.00"
"POL","90.74"
"ITA","90.66"
"SGP","89.56"
"ASM","89.00"
"HKG","88.97"
"ISR","88.95"
"CMR","87.10"
"VNM","84.13"
"SLE","84.00"
"BRA","83.29"
"ZWE","83.00"
"FRA","82.32"
"JOR","82.10"
"NLD","80.58"
"RUS","80.22"
"JAM","80.00"
"BLR","78.42"
"OMN","78.33"
"CYP","77.33"
"USA","77.19"
"TWN","76.37"
"MYS","76.32"
"SYC","74.00"
"MDV","73.75"
"BGR","73.25"
"UKR","72.69"
"HRV","71.12"
"AZE","70.18"
"ZAF","70.15"
"GRC","69.07"
"EGY","68.66"
"ZMB","68.50"
"FIN","67.21"
"ARG","66.85"
"MAC","64.50"
"KEN","64.00"
"SVN","64.00"
"COL","62.48"
"QAT","62.33"
"TGO","62.00"
"KAZ","60.58"
"BIH","59.69"
"PAN","58.22"
"PHL","58.05"
"ARM","56.63"
"KOR","56.61"
"SEN","55.73"
"THA","55.49"
"JPN","55.09"
"ESP","54.85"
"VEN","54.77"
"SUR","54.20"
"CHL","53.60"
"MAR","52.03"
"TMP","51.00"
"TUR","50.73"
"KWT","50.38"
"LBY","49.63"
"SLV","49.00"
"IND","48.89"
"ARE","48.41"
"MEX","47.91"
"GAB","47.25"
"LBN","47.16"
"AND","47.00"
"TUN","44.08"
"NAM","44.00"
"TJK","44.00"
"MUS","43.00"
"CHN","42.74"
"IRN","42.42"
"GHA","42.25"
"PAK","41.79"
"GNB","40.89"
"DZA","36.67"
"MCO","36.25"
"PRY","35.50"
"CRI","34.68"
"KIR","34.00"
"SAU","33.44"
"ETH","32.67"
"NULL","31.74"
"GGY","31.33"
"IDN","31.20"
"CIV","30.67"
"NGA","30.44"
"KHM","30.00"
"ECU","28.70"
"BGD","28.08"
"PER","26.72"
"TZA","26.20"
"BDI","26.00"
"CPV","25.00"
"AGO","23.10"
"LKA","22.57"
"COM","22.50"
"NIC","21.00"
"ATA","20.50"
"LIE","20.00"
"IRQ","19.21"
"UGA","18.50"
"BOL","17.10"
"PRI","15.58"
"UZB","14.75"
"CUB","13.50"
"HND","12.00"
"UMI","11.00"
"SYR","9.33"
"SDN","6.00"
"BFA","6.00"
"GTM","5.25"
"NPL","3.00"
"LAO","2.50"
"MMR","2.00"
"MWI","1.00"
"MLI","0.00"
"AIA","0.00"
"MDG","0.00"
"DJI","0.00"
"STP","0.00"
