"reserved_room_type","assigned_room_type","Cancellation Rate (%)"
"P","P","100.00"
"L","C","100.00"
"L","L","100.00"
"A","A","44.75"
"H","H","41.95"
"G","G","37.24"
"B","B","37.04"
"C","C","34.54"
"D","D","34.06"
"F","F","32.29"
"E","E","31.84"
"F","D","25.00"
"E","H","25.00"
"C","G","20.00"
"G","A","20.00"
"E","A","20.00"
"A","B","13.00"
"D","K","11.36"
"C","I","10.00"
"A","C","9.61"
"G","F","7.14"
"G","I","6.67"
"A","F","6.47"
"A","H","5.32"
"D","E","5.10"
"E","F","4.70"
"E","D","4.55"
"F","G","4.31"
"A","D","4.23"
"A","E","4.07"
"E","G","4.00"
"D","G","3.66"
"A","K","3.33"
"A","G","3.23"
"D","A","3.21"
"D","C","2.94"
"D","F","2.94"
"B","A","1.80"
"D","I","1.49"
"A","I","0.93"
"C","D","0.00"
"E","C","0.00"
"H","G","0.00"
"G","C","0.00"
"B","F","0.00"
"G","E","0.00"
"L","F","0.00"
"L","B","0.00"
"B","E","0.00"
"F","E","0.00"
"H","D","0.00"
"F","B","0.00"
"C","E","0.00"
"E","I","0.00"
"G","B","0.00"
"F","H","0.00"
"D","H","0.00"
"F","I","0.00"
"B","D","0.00"
"D","B","0.00"
"B","G","0.00"
"G","H","0.00"
"L","H","0.00"
"C","A","0.00"
"F","A","0.00"
"C","F","0.00"
"E","K","0.00"
"L","A","0.00"
"H","I","0.00"
"C","H","0.00"
"F","K","0.00"
"E","B","0.00"
"C","B","0.00"
"G","K","0.00"
"B","K","0.00"
